Australian Periodical Publications 1840-1845,Subscribed,National Library of Australia
Australian Research Online,Subscribed,Australian Government
Austrian Academy of Sciences,Subscribed,Austrian Academy of Sciences Press
Austrian Literature Online. Schöne Literatur aus Österreich: Die 1000 wichtigsten Bücher,Subscribed,Universitäts- und Landesbibliothek Tirol
Austrian Newspapers Online (ANNO),Subscribed,Osterreichische Nationalbibliothek
Avery Index to Architectural Periodicals,Subscribed,ProQuest
AVMA Journals Online,Subscribed,American Veterinary Medical Association
Bangladesh Journals Online,Subscribed,Bangladesh Journals Online
Bartleby.com,Subscribed,Bartleby.com
Bartleby.com (Reference),Subscribed,Bartleby.com
Baywood Journals,Subscribed,MetaPress
Begell House Journals,Subscribed,Begell House
Behrend Beacon (1948-1989) [full page reproduction],Subscribed,Pennsylvania State University
Beilstein Crossfire,Subscribed,Elsevier
"Bellwether Publishing, Ltd.",Subscribed,MetaPress
Bentham Science Publishers OA,Subscribed,Bentham Science Publishers
Berkeley Electronic Press Journals,Subscribed,Berkeley Electronic Press
Best Management Practice,Subscribed,TSO
Bible In English,Subscribed,Chadwyck-Healey
"Biblical Studies, Ancient Near East and Early Christianity E-Books Online, Collection 2007",Subscribed,Brill
Bibliography of Asian Studies (BAS),Subscribed,University of Michigan
Bibliography of the History of Art (BHA),Subscribed,Getty Trust
Biblioteca Nacional de España - Hemeroteca Digital,Subscribed,Biblioteca Nacional de España (BNE)
Bibliotheca Teubneriana Latina & Thesaurus Linguae Latinae,Subscribed,Walter de Gruyter
Bibliothèque numérique CEFAEL,Subscribed,French School of Athens
Biodiversity Heritage Library,Subscribed,Biodiversity Heritage Library
Biodiversity Heritage Library,Subscribed,Internet Archive
Biography and Genealogy Master Index,Subscribed,Gale
Bioline International,Subscribed,Bioline International
Biological Abstracts,Subscribed,Thomson Reuters
BioMedCentral,Subscribed,BioMedCentral
BioMedCentral Open Access,Subscribed,BioMedCentral
BioOne Open Access Titles,Subscribed,BioOne
BioOne.1,Subscribed,BioOne
BioOne.2,Subscribed,BioOne
Black Abolitionist Papers,Subscribed,Chadwyck-Healey
Black Drama,Subscribed,Alexander Street Press
Black Newspapers,Subscribed,ProQuest
Black Studies in Video (North America),Subscribed,Alexander Street Press
BMJ Journals,Subscribed,BMJ Publishing Group Ltd
BNA Labor and Employment Law Library,Subscribed,Bloomberg BNA
BNA Law Resources,Subscribed,Pennsylvania State University
Book Review Index,Subscribed,Gale
Boston College Publications,Subscribed,Boston College
Botanical Society of America,Subscribed,Botanical Society of America
Brill Online Books and Journals,Subscribed,Brill
Brill Online Reference Works,Subscribed,Brill
Brill's New Pauly,Subscribed,Brill
British Fluoridation Society Publications,Subscribed,British Fluoridation Society
British History Online,Subscribed,University of London & History of Parliament Trust
British Newspapers 1600-1900,Subscribed,Gale
British Periodicals Collection I,Subscribed,Chadwyck-Healey
British Periodicals Collection II,Subscribed,Chadwyck-Healey
British Veterinary Association,Subscribed,British Veterinary Association
Builder Group Publications,Subscribed,Builder Group
Building Green,Subscribed,"BuildingGreen, LLC"
Business Cycle Indicators,Subscribed,"Conference Board, Inc"
Business Expert Press eBooks,Subscribed,Business Expert Press
Business Source Premier,Subscribed,EBSCOhost
CAB ABSTRACTS Full Text Select,Subscribed,CAB International
CAB Direct,Subscribed,CAB International
Cabell's Directory - Psychology and Psychiatry,Subscribed,"Cabell's Publishing, Inc"
Cabell's Directory - Business Set,Subscribed,"Cabell's Publishing, Inc"
Cabell's Directory - Educational Set,Subscribed,"Cabell's Publishing, Inc"
CAIRN Free Access Journals,Subscribed,CAIRN
CALICO Journal,Subscribed,Computer Assisted Language Instruction Consortium
Cambridge Companions Complete Collection,Subscribed,Cambridge University Press
Cambridge Histories Online,Subscribed,Cambridge University Press
Cambridge Journals Digital Archives,Subscribed,Cambridge University Press
Cambridge Journals Online,Subscribed,Cambridge University Press
Canadian Mathematical Society Journals,Subscribed,Canadian Mathematical Society
Canadian Poetry,Subscribed,Chadwyck-Healey
CAT - Penn State Library Catalog,Subscribed,Pennsylvania State University
Catalog of U.S. Government Publications,Subscribed,U.S. Government Printing Office
Catalog of U.S. Government Publications (CGP),Subscribed,U.S. Government Printing Office
Catholic Periodical and Literature Index,Subscribed,EBSCOhost
CAUSEweb.org,Subscribed,National Science Foundation
CCH Business and Finance Internet Research NetWork,Subscribed,CCH Incorporated
CCH Health and Human Resources Research Network,Subscribed,CCH Incorporated
CCH IntelliConnect,Subscribed,CCH Incorporated
CCH Tax Research Network,Subscribed,CCH Incorporated
CEDRAM Journals,Subscribed,Center for diffusion of academic mathematical journals (CEDRAM)
Cell Press Free Archives,Subscribed,Cell Press
Center For Digital Initiatives,Subscribed,Brown University
Centers for Disease Control and Prevention,Subscribed,Centers for Disease Control and Prevention
Central Pennsylvania Architecture and Landscape Architecture,Subscribed,Pennsylvania State University
Centre Daily Times (1996 - present),Subscribed,NewsBank
"Centre Daily Times (CDT) Obituaries Database (1937-1995, 2011)",Subscribed,Pennsylvania State University
Centre Daily Times Index 1981-2002,Subscribed,Pennsylvania State University
Centre for Economic Policy Research Publications,Subscribed,Centre for Economic Policy Research
Century Journal Project (Phase 1) - Literature/History/Philosophy (Series F),Subscribed,East View Information Services
Century Journals Project - Literature/History/Philosophy (Series F),Subscribed,East View Information Services
CHANT (Chinese Ancient Texts) Database,Subscribed,Chinese University of Hong Kong
Chemical & Engineering News,Subscribed,American Chemical Society
Chemical Abstracts Service Source Index (CASSI),Subscribed,American Chemical Society
"Chemical Educator Articles, The (TCE)",Subscribed,"Chemical Educator, The (TCE)"
Chemical Society of Japan,Subscribed,Chemical Society of Japan
Chicago Defender (1909-1975) (Legacy Platform),Subscribed,ProQuest
Chicago Tribune,Subscribed,ProQuest
Chicago Tribune Historical Archive (Legacy Platform),Subscribed,ProQuest
Children's Literature Comprehensive Database,Subscribed,Children's Literature
China Academic Journals - Literature/History/Philosophy (Series F) - Chinese,Subscribed,East View Information Services
China Academic Journals - Literature/History/Philosophy (Series F) - English,Subscribed,East View Information Services
China Data Online,Subscribed,"All China Marketing Research Co., Ltd (ACMR)"
Chinamaxx Digital Library,Subscribed,Superstar Information Technology co. Ltd
"Chinese Recorder and the Protestant Missionary Community in China, 1867-1941",Subscribed,Gale
ChoiceReviews.online,Subscribed,American Library Association
Chronicle of Higher Education,Subscribed,Chronicle of Higher Education
Chronicling America: Historic American Newspapers,Subscribed,Library of Congress
CIG Media Group Publications,Subscribed,MetaPress
CINAHL,Subscribed,EBSCOhost
CiNii: Open Access Journals,Subscribed,National Institute of Informatics
Clearinghouse Review,Subscribed,Sargent Shriver National Center on Poverty Law
ClimateWire,Subscribed,Environment & Energy Publishing
CLOCKSS,Subscribed,CLOCKSS
Cochrane Library,Subscribed,Wiley-Blackwell
Cold Spring Harbor Laboratory Press,Subscribed,Cold Spring Harbor Laboratory Press
CollegeSource Online Web site,Subscribed,Career Guidance Foundation
Colloquium digital library of life sciences: Collection 1,Subscribed,Morgan & Claypool Publishers
Colloquium digital library of life sciences: Collection 2,Subscribed,Morgan & Claypool Publishers
Columbia International Affairs Online Books,Subscribed,Columbia University Press
Columbia International Affairs Online Journals,Subscribed,Columbia University Press
Communication & Mass Media Complete,Subscribed,EBSCOhost
Communications Regulation,Subscribed,Pike & Fischer
Community Health Database (Southestern PA Household Health Survey),Subscribed,Pennsylvania State University
Community of Science (COS),Subscribed,Community of Science
Compact Memory,Subscribed,German Research Foundation
Company of Biologists,Subscribed,Company of Biologists
Compendex,Subscribed,Engineering Village
"Confederate Newspapers: A Collection from Florida, Georgia, Tennessee, Virginia and Alabama",Subscribed,Gale
Conference Board Research Online Collection,Subscribed,"Conference Board, Inc"
Conference Papers Index (Full archive),Subscribed,CSA
Congressional Research Digital Collection,Subscribed,LexisNexis
Connexions,Subscribed,Rice University
Constitutions of the countries of the world,Subscribed,"Oceana Publications, Inc."
Contemporary Authors,Subscribed,Gale
Contemporary Literary Criticism Select,Subscribed,Gale
Copernicus Publications,Subscribed,Copernicus Gesellschaft
Core Historical Literature of Agriculture,Subscribed,Cornell University
Corpus of Middle English Prose and Verse,Subscribed,University of Michigan
Council for the Development of Social Science Research in Africa (CODESRIA) Department of Publications and Dissemination,Subscribed,Council for the Development of Social Science Research in Africa (CODESRIA)
Counseling and Therapy in Video: Volume 1,Subscribed,Alexander Street Press
Counseling and Therapy in Video: Volume 2,Subscribed,Alexander Street Press
Counseling and Therapy in Video: Volume 3,Subscribed,Alexander Street Press
CQ Almanac,Subscribed,CQ Press
CQ Congress Collection,Subscribed,CQ Press
CQ Electronic Library,Subscribed,CQ Press
CQ Global Researcher,Subscribed,CQ Press
CQ Historic Documents,Subscribed,CQ Press
CQ Researcher,Subscribed,CQ Press
CQ Roll Call,Subscribed,CQ Roll Call
CQ Supreme Court Collection,Subscribed,CQ Press
CQ Voting and Elections Collection,Subscribed,CQ Press
CQ Weekly,Subscribed,CQ Press
CQ's Vital Statistics on American Politics Online,Subscribed,CQ Press
CRC Handbook of Chemistry and Physics,Subscribed,CRC Press LLC
Criminal Justice Abstracts,Subscribed,EBSCOhost
Criminal Law Reporter,Subscribed,Bloomberg BNA
CRL Catalog,Subscribed,Center for Research Libraries
Crop Protection Compendium,Subscribed,CAB International
CSIRO Publishing Journals,Subscribed,CSIRO Publishing
CUMINCAD,Subscribed,Association for Computer Aided Design in Architecture
Current Index to Statistics,Subscribed,American Statistical Association
CyberLiber Books,Subscribed,CyberLiber
CyberLiber Journals,Subscribed,CyberLiber
Czech Digital Mathematics Library,Subscribed,Institute of Mathematics of the Academy of Sciences of the Czech Republic
Daily Collegian (1887-1987) [full page reproduction],Subscribed,Pennsylvania State University
Daily Collegian Index 1992 - 2002,Subscribed,Pennsylvania State University
Dana Press,Subscribed,Dana Press
Dance in Video,Subscribed,Alexander Street Press
Data Trace E-Journals,Subscribed,Data Trace Publishing Company
De Gruyter Online,Subscribed,Walter de Gruyter
De Gruyter Reference Global,Subscribed,Walter de Gruyter
Deal.com,Subscribed,"Deal, LLC"
Declassified Documents Reference System,Subscribed,Gale
Department of Energy Information Bridge,Subscribed,U.S. Department of Energy
Descriptions of Fungi and Bacteria,Subscribed,CAB International
Deutsche Biographie,Subscribed,Bayerische Staatsbibliothek
Dictionary of Literary Biography,Subscribed,Gale
Dictionary of Old English,Subscribed,University of Toronto
Dictionary of Old English Web Corpus,Subscribed,University of Toronto
Digital Collections @ Stanford (SULAIR),Subscribed,Stanford University
Digital Himalaya,Subscribed,University of Cambridge
Digital Innovation South Africa,Subscribed,Digital Innovation South Africa
Digital Library of Classic Protestant Texts,Subscribed,Alexander Street Press
Digital Library of the Catholic Reformation,Subscribed,Alexander Street Press
Digital Library of the Commons,Subscribed,Indiana University
Digital National Security Archive,Subscribed,Chadwyck-Healey
Digital South Asia Library,Subscribed,Center for Research Libraries
Digitale Sammlungen,Subscribed,Digital Library Department of the Bavarian State Library
DigiZeitschriften Open Access Journals,Subscribed,DigiZeitschriften e.V.
Direction of Trade Statistics (IMF),Subscribed,International Monetary Fund
Directory of Open Access Journals,Subscribed,Directory of Open Access Journals
Directory of Open Access Journals Article Search,Subscribed,Directory of Open Access Journals
Directory of Publications and Broadcast Media (Gale),Subscribed,Pennsylvania State University
Directory of Published Proceedings,Subscribed,InterDok
Disaster Recovery Journal,Subscribed,Disaster Recovery Journal
Dissertations and Theses @ CIC full-text,Subscribed,Pennsylvania State University
Dissertations and Theses A&I,Subscribed,ProQuest
Distribution Maps of Plant Pests,Subscribed,CAB International
DML-E: Mathematics Digital Library,Subscribed,Centro de Información y Documentación Científica (CINDOC - CSIC)
Documentary History of the Ratification of the Constitution,Subscribed,University of Virginia Press
doiSerbia,Subscribed,National library of Serbia
Dolley Madison Digital Edition,Subscribed,University of Virginia
DOVE Medical Press Journals,Subscribed,DOVE Medical Press
DRAM (Database of Recorded American Music),Subscribed,"Anthology of Recorded Music, Inc."
DTIC STINET,Subscribed,DTIC
Duke University Press,Subscribed,Duke University Press
Duncker & Humblot eJournals,Subscribed,Duncker & Humblot
DynaMed,Subscribed,EBSCOhost
E&ETV,Subscribed,Environment & Energy Publishing
Early American Fiction 1789 - 1875,Subscribed,Chadwyck-Healey
"Early American Imprints, Series I: Evans Digital Edition",Subscribed,NewsBank
"Early American Imprints, Series II: Shaw-Shoemaker, 1801-1819",Subscribed,NewsBank
"Early American imprints. Series I, Supplement from the Library Company of Philadelphia, 1670-1800",Subscribed,NewsBank
"Early American imprints. Series II, Supplement from the Library Company of Philadelphia, 1801-1819",Subscribed,NewsBank
"Early American Newspapers, Series I",Subscribed,Readex
"Early American Newspapers, Series II",Subscribed,Readex
"Early American Newspapers, Series III",Subscribed,Readex
"Early American Newspapers, Series IV",Subscribed,Readex
"Early American Newspapers, Series V",Subscribed,Readex
"Early American Newspapers, Series VI",Subscribed,Readex
"Early American Newspapers, Series VII",Subscribed,Readex
Early English Books Online,Subscribed,Chadwyck-Healey
Early English Books Online - Text Creation Partnership,Subscribed,University of Michigan
Early English Prose Fiction,Subscribed,Chadwyck-Healey
"East Germany from Stalinization to the New Economic Policy, 1950-1963",Subscribed,Gale
EBL (Electronic Book Library),Subscribed,Pennsylvania State University
Ebrary Aerospace Corporate Collection,Subscribed,Ebrary
Ecological Society of America Publications,Subscribed,Ecological Society of America
Ecology Abstracts (Full archive),Subscribed,CSA
EconLit,Subscribed,EBSCOhost
Economist Historical Archive,Subscribed,Gale
Edinburgh University Press Journals,Subscribed,Edinburgh University Press
Editions & Adaptations of Shakespeare,Subscribed,Chadwyck-Healey
Edmund Spenser World Bibliography,Subscribed,Saint Louis University
eDoc.ViFaPol,Subscribed,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky
EDP Sciences,Subscribed,EDP
Education in Video (United States),Subscribed,Alexander Street Press
Education Journals,Subscribed,ProQuest
e-Duke Journals Scholarly Collection: Expanded,Subscribed,Duke University Press
e-EROS: Encyclopedia of Reagents for Organic Synthesis,Subscribed,Pennsylvania State University
eHRAF Archaeology,Subscribed,"Human Relations Area Files, Inc."
eHRAF World Cultures,Subscribed,"Human Relations Area Files, Inc."
Eighteenth Century Collections Online,Subscribed,Gale
Eighteenth Century Collections Online - Text Creation Partnership,Subscribed,University of Michigan
Eighteenth Century Journals II,Subscribed,Adam Matthew Digital
Eighteenth-Century Fiction,Subscribed,Chadwyck-Healey
Electrochemical Society Digital Library,Subscribed,Electrochemical Society
Electronic Journal System of STPI,Subscribed,STPI National Applied Research Laboratories Republic of China
Electronic Journals and Newspapers on Africa,Subscribed,Columbia University
Electronic Library of Mathematics,Subscribed,European Mathematical Information Service
Electronic Reserves,Subscribed,Pennsylvania State University
Elsevier Science Direct,Subscribed,Elsevier
Empire Online,Subscribed,Adam Matthew Digital
Encyclopaedia of Islam THREE,Subscribed,Brill
Encyclopedia of American Studies,Subscribed,Johns Hopkins University Press
Encyclopedia of International Media and Communications,Subscribed,Pennsylvania State University
Encyclopedia of Jews in the Islamic World,Subscribed,Brill
Encyclopedia of Popular Music,Subscribed,Oxford University Press
Endocrine Society Journal Archives Online: 1917-1996,Subscribed,Endocrine Society
Endocrine Society Journals,Subscribed,Endocrine Society
Energy Citations Database,Subscribed,U.S. Department of Energy
Engineering Village 2,Subscribed,Elsevier
English Drama,Subscribed,Chadwyck-Healey
"English Poetry, Second Edition",Subscribed,Chadwyck-Healey
English Short Title Catalogue,Subscribed,British Library Board
Environment & Energy Publishing,Subscribed,Environment & Energy Publishing
Environment Reporter,Subscribed,Bloomberg BNA
Environmental Engineering Abstracts (Full archive),Subscribed,ProQuest
Environmental Sciences & Pollution Management,Subscribed,ProQuest
e-Revist@s: Plataforma Open Access de Revistas Electrónicas Españolas y Latinoamericanas,Subscribed,Centro de Información y Documentación Científica (CINDOC - CSIC)
ERIC,Subscribed,CSA
ERIC,Subscribed,ERIC Clearinghouse on Information & Technology
Érudit,Subscribed,Érudit
Érudit (Freely Accessible),Subscribed,Érudit
eScholarship Editions,Subscribed,California Digital Library
eScholarship Repository,Subscribed,California Digital Library
eScholarship@McGill,Subscribed,McGill University
esp@cenet,Subscribed,European Patent Office
E-Stat,Subscribed,Statistique Canada
E-STAT CANSIM (English),Subscribed,Statistique Canada
Ethnic NewsWatch [Current],Subscribed,ProQuest
European Commission - Economic and Financial Affairs,Subscribed,Europa Publications
European Commission Environment Publications,Subscribed,European Commission
European Commission Research Publications,Subscribed,European Commission
European Mathematical Society Publishing House,Subscribed,European Mathematical Society
European NAvigator,Subscribed,Pennsylvania State University
Evans Early American Imprint Collection - Text Creation Partnership,Subscribed,University of Michigan
Evolutionary Ecology Research,Subscribed,"Evolutionary Ecology, Ltd."
Expert Reviews,Subscribed,Expert Reviews
E-ZBorrow (Pennsylvania Academic Library Consortium),Subscribed,Pennsylvania State University
Factiva,Subscribed,Dow Jones Factiva
Family Law Reporter,Subscribed,Bloomberg BNA
FDsys - Government Publications,Subscribed,U.S. Government Printing Office
Federal News Service,Subscribed,Pennsylvania State University
Federal R&D Project Summaries (grants),Subscribed,U.S. Department of Energy
Federal Reserve Bank of Atlanta Publications,Subscribed,Federal Reserve Bank of Atlanta
Federal Reserve Bank of Boston Publications,Subscribed,Federal Reserve Bank of Boston
Federal Reserve Bank of Chicago Economic Research Publications,Subscribed,Federal Reserve Bank of Chicago
Federal Reserve Bank of Cleveland Economic Research & Data,Subscribed,Federal Reserve Bank of Cleveland
Federal Reserve Bank of Dallas Economic Research Publications,Subscribed,Federal Reserve Bank of Dallas
Federal Reserve Bank of Kansas City Publications,Subscribed,Federal Reserve Bank of Kansas City
Federal Reserve Bank of Minneapolis Economic Research Publications,Subscribed,Federal Reserve Bank of Minneapolis
Federal Reserve Bank of New York Research Publications,Subscribed,Federal Reserve Bank of New York
Federal Reserve Bank of Philadelphia Publications,Subscribed,Federal Reserve Bank of Philadelphia
Federal Reserve Bank of Richmond Research Publications,Subscribed,Federal Reserve Bank of Richmond
Federal Reserve Bank of San Francisco Publications,Subscribed,Federal Reserve Bank of San Francisco
Federal Reserve Bank of St. Louis Economic Research Publications,Subscribed,Federal Reserve Bank of St. Louis
Federal Surveillance of the Partido Independentista Puertorriqueño,Subscribed,Gale
Federation of American Societies for Experimental Biology,Subscribed,Federation of American Societies for Experimental Biology
Feminae: Medieval Women and Gender Index,Subscribed,Haverford College
"Feminism in Cuba, 1898-1958",Subscribed,Gale
Film & Television Literature Index,Subscribed,EBSCOhost
Film Literature Index,Subscribed,Indiana University
Filmakers Library Online (North America),Subscribed,Alexander Street Press
Firenze University Press Open Journals,Subscribed,Firenze University Press
Fisheries and Oceans Canada Virtual Library,Subscribed,Fisheries and Oceans Canada
Flat World Knowledge,Subscribed,"Flat World Knowledge, Inc."
